JournalID,Venue,Year,Volume
0,Journal of Systems and Information Technology,2024,26
1,Knowledge-Based Systems,2023,280
2,Scientific Reports,2024,14
3,"Soft Computing - A Fusion of Foundations, Methodologies and Applications",2024,0
4,IEEE transactions on fuzzy systems,2022,30
5,Big Data Research,2021,27
6,Applied Soft Computing,2021,113
7,Biomimetics,2025,10
8,Advanced Engineering Informatics,2024,60
9,Multimedia Systems,2023,29
10,"Signal, Image and Video Processing",2023,17
11,Symmetry,2023,15
12,International Journal of Surgery,2024,110
13,Expert systems with applications,2023,234
14,Computer Science Review,2024,54
15,Future generations computer systems,2022,138
16,Knowledge and Information Systems,2023,65
17,IEEE Transactions on Wireless Communications,2024,23
18,EURASIP Journal on Wireless Communications and Networking,2023,2023
19,bioRxiv,2024,0
20,IEEE Transactions on Signal Processing,2022,71
21,Empirical Software Engineering,2021,26
8,Advanced Engineering Informatics,2025,64
22,IEEE journal of biomedical and health informatics,2023,28
23,Software quality journal,2023,31
24,Intelligent Systems with Applications,2023,17
25,"Software testing, verification & reliability",2022,33
26,International Journal of Information and Communication Technology Education,2024,20
27,IEEE Transactions on Automatic Control,2021,68
28,Journal of Computer Assisted Learning,2024,40
29,IEEE Transactions on Cognitive and Developmental Systems,2023,15
30,Consciousness and Cognition,2021,93
31,Engineering applications of artificial intelligence,2021,106
32,Multimedia tools and applications,2021,80
31,Engineering applications of artificial intelligence,2024,130
3,"Soft Computing - A Fusion of Foundations, Methodologies and Applications",2022,26
6,Applied Soft Computing,2024,169
33,IEEE Internet of Things Journal,2023,10
18,EURASIP Journal on Wireless Communications and Networking,2021,2021
34,Statistics and computing,2023,34
35,IEEE Transactions on Pattern Analysis and Machine Intelligence,2022,45
20,IEEE Transactions on Signal Processing,2024,72
35,IEEE Transactions on Pattern Analysis and Machine Intelligence,2024,47
35,IEEE Transactions on Pattern Analysis and Machine Intelligence,2024,46
36,ACM Computing Surveys,2022,56
37,Journal of information science,2022,50
38,Cognitive Neurodynamics,2024,0
39,Brain Topography,2024,37
40,Frontiers in Human Neuroscience,2024,18
41,Frontiers in Psychiatry,2024,15
42,Artificial Intelligence Review,2024,0
43,Big Data Mining and Analytics,2024,7
44,IEEE Transactions on Cognitive Communications and Networking,2023,9
36,ACM Computing Surveys,2024,57
45,IEEE Transactions on Aerospace and Electronic Systems,2024,60
46,Pervasive and Mobile Computing,2023,93
32,Multimedia tools and applications,2022,81
47,ACM Journal on Computing and Cultural Heritage,2021,14
48,Heliyon,2023,10
49,SN Computer Science,2023,4
6,Applied Soft Computing,2024,163
13,Expert systems with applications,2023,233
50,IEEE Transactions on Knowledge and Data Engineering,2024,36
13,Expert systems with applications,2023,238
49,SN Computer Science,2023,5
51,Applied Sciences,2023,0
52,IEEE Access,2023,11
53,Signal processing. Image communication,2022,123
